datum,partei,rolling_average,sz_err,ci_higher,ci_lower
2012-04-11,Linke,0.0665004855940434,0.0123319100032373,0.0788323955972807,0.0541685755908061
2012-04-16,CDU/CSU,0.363234536082474,0.0235478221649485,0.386782358247423,0.339686713917526
2012-04-16,SPD,0.27,0.0217296520618557,0.291729652061856,0.248270347938144
2012-04-16,Grüne,0.133234536082474,0.0166700515463918,0.149904587628866,0.116564484536082
2012-04-16,FDP,0.04,0.00958971649484536,0.0495897164948454,0.0304102835051546
2012-04-16,Linke,0.0732345360824742,0.0128086726804124,0.0860432087628866,0.0604258634020619
2012-04-23,CDU/CSU,0.35,0.02344819746671,0.37344819746671,0.32655180253329
2012-04-23,CDU/CSU,0.35,0.02344819746671,0.37344819746671,0.32655180253329
2012-04-23,CDU/CSU,0.35,0.02344819746671,0.37344819746671,0.32655180253329
2012-04-23,CDU/CSU,0.35,0.02344819746671,0.37344819746671,0.32655180253329
2012-04-23,SPD,0.26,0.0215634199415395,0.281563419941539,0.238436580058461
2012-04-23,SPD,0.26,0.0215634199415395,0.281563419941539,0.238436580058461
2012-04-23,SPD,0.26,0.0215634199415395,0.281563419941539,0.238436580058461
2012-04-23,SPD,0.26,0.0215634199415395,0.281563419941539,0.238436580058461
2012-04-23,Grüne,0.13,0.0165340857421241,0.146534085742124,0.113465914257876
2012-04-23,Grüne,0.13,0.0165340857421241,0.146534085742124,0.113465914257876
2012-04-23,Grüne,0.13,0.0165340857421241,0.146534085742124,0.113465914257876
2012-04-23,Grüne,0.13,0.0165340857421241,0.146534085742124,0.113465914257876
2012-04-23,FDP,0.0432607989607015,0.0100767034751543,0.0533375024358558,0.0331840954855473
2012-04-23,FDP,0.0432607989607015,0.0100767034751543,0.0533375024358558,0.0331840954855473
2012-04-23,FDP,0.0432607989607015,0.0100767034751543,0.0533375024358558,0.0331840954855473
2012-04-23,FDP,0.0432607989607015,0.0100767034751543,0.0533375024358558,0.0331840954855473
2012-04-23,Linke,0.0667392010392985,0.0121897564144203,0.0789289574537188,0.0545494446248782
2012-04-23,Linke,0.0667392010392985,0.0121897564144203,0.0789289574537188,0.0545494446248782
2012-04-23,Linke,0.0667392010392985,0.0121897564144203,0.0789289574537188,0.0545494446248782
2012-04-23,Linke,0.0667392010392985,0.0121897564144203,0.0789289574537188,0.0545494446248782
2012-05-01,CDU/CSU,0.356762334730732,0.0234409480812641,0.380203282811996,0.333321386649468
2012-05-01,SPD,0.266762334730732,0.0216322218639149,0.288394556594647,0.245130112866817
2012-05-01,Grüne,0.143524669461464,0.0170671912286359,0.1605918606901,0.126457478232828
2012-05-01,FDP,0.043237665269268,0.0100379716220574,0.0532756368913254,0.0331996936472106
2012-05-01,Linke,0.06,0.0116266623669784,0.0716266623669784,0.0483733376330216
2012-05-09,CDU/CSU,0.35,0.0233520889748549,0.373352088974855,0.326647911025145
